id,name,image_1920
__export__.product_template_318_9fa0db0b,SPRING,https://btemw.com/default-placeholder.png
__export__.product_template_333_accd9725,SPRING,https://btemw.com/default-placeholder.png
__export__.product_template_348_354ca586,SPRING RETAINER,https://btemw.com/default-placeholder.png
__export__.product_template_343_3807eb0d,SWIVEL SPUD,https://btemw.com/default-placeholder.png
__export__.product_template_213_12f962b5,Steel Braid House,https://btemw.com/default-placeholder.png
__export__.product_template_309_5a40bffe,THROTTLE HANDLE WITH KEY,https://btemw.com/default-placeholder.png
__export__.product_template_308_8a153bd7,THROTTLE VALVE,https://btemw.com/default-placeholder.png
__export__.product_template_316_f3876ea4,THROTTLE VALVE PLUNGER,https://btemw.com/default-placeholder.png
__export__.product_template_311_e607f7f5,TOOTH WASHER,https://btemw.com/default-placeholder.png
__export__.product_template_423_b02d5353,TUL2B Feed Leg CAP,https://btemw.com/default-placeholder.png
__export__.product_template_436_43f7df36,TUL2B Feed Leg CUP,https://btemw.com/default-placeholder.png
__export__.product_template_430_fba100a2,TUL2B Feed Leg FEED PISTON,https://btemw.com/default-placeholder.png
__export__.product_template_433_0adc7af1,TUL2B Feed Leg HANDLE GRIP ASSEMBLY,https://btemw.com/default-placeholder.png
__export__.product_template_429_fcdb80b2,TUL2B Feed Leg NYLON PLUG,https://btemw.com/default-placeholder.png
__export__.product_template_434_be0034a8,TUL2B Feed Leg O-RING,https://btemw.com/default-placeholder.png
__export__.product_template_435_9cd85f8d,TUL2B Feed Leg O-RING,https://btemw.com/default-placeholder.png
__export__.product_template_420_1abf8c93,TUL2B Feed Leg PLASTIC SPACER,https://btemw.com/default-placeholder.png
__export__.product_template_419_f20b45c2,TUL2B Feed Leg PRIMARY CYLINDER,https://btemw.com/default-placeholder.png
__export__.product_template_432_353503b7,TUL2B Feed Leg PRIMARY PISTON ASSEMBLY,https://btemw.com/default-placeholder.png
__export__.product_template_427_d9a08001,TUL2B Feed Leg SECONDARY CYLINDER,https://btemw.com/default-placeholder.png
__export__.product_template_431_17dba81e,TUL2B Feed Leg SECONDARY PISTON ASSEMBLY,https://btemw.com/default-placeholder.png
__export__.product_template_428_069dfd24,TUL2B Feed Leg TOOTH WASHER,https://btemw.com/default-placeholder.png
__export__.product_template_425_2f1164c4,TUL2B Feed Leg Y-POINT,https://btemw.com/default-placeholder.png
__export__.product_template_225_f45c4ad5,Telescopic Stoper Feed Leg,https://btemw.com/default-placeholder.png
__export__.product_template_355_45840fc0,VALVE CHEST,https://btemw.com/default-placeholder.png
__export__.product_template_346_1bca584f,VALVE PISTON,https://btemw.com/default-placeholder.png
__export__.product_template_356_e75b9d8f,VALVE PLUG,https://btemw.com/default-placeholder.png
__export__.product_template_350_25d7a218,VALVE SEAT,https://btemw.com/default-placeholder.png
__export__.product_template_387_3d02d353,WATER CONNECTION ASSEMBLY,https://btemw.com/default-placeholder.png
__export__.product_template_341_303796d2,WATER CONNECTION ELBOW,https://btemw.com/default-placeholder.png
__export__.product_template_386_6a91c816,WATER CONNECTION TUBE,https://btemw.com/default-placeholder.png
__export__.product_template_340_91db7d49,WATER VALVE,https://btemw.com/default-placeholder.png
